#signalNumber pressure[MPa] length[mm]
1 0.316983 104.795449
2 0.242617 104.798671
3 0.436618 97.827733
4 0.488036 96.144599
5 0.254115 98.085438
6 0.153881 103.94824
7 0.112385 105.494478
8 0.096129 106.317529
9 0.269139 104.813167
10 0.198266 104.768068
11 0.400382 100.533638
12 0.078478 106.245049
13 0.440543 100.705978
14 0.49182 95.967427
15 0.461635 95.941656
16 0.330046 96.04957
17 0.40747 96.057623
18 0.08723 106.216057
19 0.072683 107.09226
20 0.244089 105.563737
21 0.160482 105.628163
22 0.19327 105.602393
23 0.382311 100.195399
24 0.212544 101.129582
25 0.164611 103.431217
26 0.411419 100.279154
27 0.132509 104.447546
28 0.103343 105.549241
29 0.421719 100.736581
30 0.15915 103.455377
31 0.036396 107.354799
32 0.189604 106.744356
33 0.082138 106.921529
34 0.384634 102.459987
35 0.445372 97.465336
36 0.205798 99.870046
37 0.383284 99.494763
38 0.230649 100.567461
39 0.488881 97.436344
40 0.204604 100.683429
41 0.011239 108.044166
42 0.026385 108.081211
43 0.066883 108.086043
44 0.288016 105.214222
45 0.497143 96.046349
46 0.037611 106.979513
47 0.094431 107.591567
48 0.319187 104.197893
49 0.169028 105.048324
50 0.089331 106.109753
51 0.153858 106.063043
52 0.338535 102.600115
53 0.486983 96.838791
54 0.057852 106.678318
55 0.379282 102.44227
56 0.028622 106.840996
57 0.208526 105.940633
58 0.375198 101.95585
59 0.408683 98.765135
60 0.311883 98.787684
61 0.47709 96.579475
62 0.259735 98.393073
63 0.069039 106.932804
64 0.360996 102.843325
65 0.459747 96.95959
66 0.07401 106.225721
67 0.075122 106.689593
68 0.414095 101.545132
69 0.220828 101.060323
70 0.34411 100.512699
71 0.122916 104.365402
72 0.344566 102.287647
73 0.225747 102.358516
74 0.08419 105.86171
75 0.287728 103.722747
76 0.224415 103.708251
77 0.211617 103.734022
78 0.430461 97.871221
79 0.446193 97.803573
80 0.284588 97.937258
81 0.181901 102.70964
82 0.135434 104.532911
83 0.055744 107.45305
84 0.080376 107.393455
85 0.490518 98.554139
86 0.079633 106.220889
87 0.126139 106.647716
88 0.327937 103.643824
89 0.380064 100.327473
90 0.468437 97.421848
91 0.111546 105.048324
92 0.29944 103.466651
93 0.468284 97.499159
94 0.132109 103.951461
95 0.00067 108.450055
96 0.421576 101.733579
97 0.065573 106.572014
98 0.375274 102.308585
99 0.19804 103.110695
100 0.060257 106.362627
101 0.489795 98.641115
102 0.052656 106.588121
103 0.366516 102.555016
104 0.181893 103.481147
105 0.045996 106.816836
106 0.279444 104.760015
107 0.491667 96.684168
108 0.224679 98.718426
109 0.436583 97.626401
110 0.408421 97.594188
111 0.214863 99.858772
112 0.085662 106.257934
113 0.486555 98.405959
114 0.299139 97.610295
115 0.035607 107.475599
116 0.40906 101.683649
117 0.252093 100.161575
118 0.480604 97.149647
119 0.095191 105.521859
120 0.4776 98.731311
121 0.409089 97.317155
122 0.416491 97.283331
123 0.047859 106.853881
124 0.45322 99.383628
125 0.055802 106.51242
126 0.182664 106.386787
127 0.499842 97.217295
128 0.349632 96.27023
129 0.104638 105.431662
130 0.108889 105.541187
131 0.000941 108.451665
132 0.353471 103.61
133 0.462849 96.946705
134 0.288774 97.056229
135 0.359496 97.075557
136 0.241814 98.58152
137 0.19088 101.922027
138 0.200634 101.936523
139 0.259835 101.894645
140 0.076592 106.762073
141 0.240694 105.436494
142 0.478184 97.557143
143 0.13276 104.276815
144 0.265386 103.688923
145 0.076904 106.087203
146 0.435667 100.730138
147 0.048536 106.074318
148 0.458092 100.216338
149 0.123594 103.630939
150 0.305602 102.728968
151 0.370029 101.123139
152 0.268154 101.187565
153 0.264402 101.168237
154 0.429434 98.306098
155 0.250832 98.449446
156 0.300865 98.45911
157 0.309249 98.513873
158 0.022782 107.770352
159 0.020224 108.350193
160 0.232119 106.467321
161 0.183219 106.462489
162 0.182739 106.439939
163 0.444618 97.520098
164 0.033259 107.238831
165 0.224854 106.148409
166 0.085152 106.915087
167 0.372654 102.308585
168 0.365507 100.873487
169 0.386942 99.394902
170 0.35225 99.446443
171 0.397961 99.436779
172 0.246719 99.509259
173 0.355957 99.417451
174 0.237565 99.572074
175 0.11879 105.383342
176 0.391302 101.659489
177 0.133519 104.935577
178 0.375502 100.048829
179 0.393035 99.092099
180 0.177656 101.232664
181 0.40345 99.478656
182 0.04971 107.076153
183 0.185614 106.718585
184 0.042009 107.929808
185 0.247575 105.914862
186 0.112163 106.621945
187 0.441477 98.586352
188 0.207318 100.213117
189 0.386307 99.14525
190 0.499899 96.700274
191 0.349762 96.888721
192 0.123422 103.492422
193 0.418727 100.095538
194 0.113593 104.96779
195 0.335597 102.155572
196 0.223804 102.136245
197 0.468103 96.571422
198 0.127485 104.334799
199 0.411411 100.56424
200 0.15965 103.060764
201 0.418579 98.219122
202 0.347806 98.244893
203 0.260292 98.333479
204 0.335361 98.343143
205 0.063648 107.035887
206 0.433916 100.379014
207 0.285506 99.045389
208 0.108232 105.54763
209 0.432775 100.590011
210 0.227584 100.696314
211 0.298213 100.667322
212 0.101728 105.455822
213 0.124321 105.88587
214 0.378384 102.070207
215 0.43373 98.215901
216 0.485296 96.349152
217 0.321779 96.445791
218 0.36604 96.44257
219 0.42607 96.44257
220 0.387397 96.44257
221 0.167103 102.931911
222 0.1843 102.915805
223 0.355529 101.359906
224 0.175078 102.914194
225 0.35746 101.330914
226 0.459079 96.86295
